hash,trainable_parameters,training_time,train_accuracy,validation_accuracy,test_accuracy
648465369591572854,2623114,1156.5069580078125,0.9012419581413269,0.8074919581413269,0.8040865659713745
5854701547222378431,1756955,1483.302001953125,0.9563301205635071,0.8310296535491943,0.8279246687889099
5595958925506801439,1462914,1047.6199951171875,0.9176682829856873,0.8119992017745972,0.8139022588729858
7435811586267109258,2186250,980.2099609375,0.8443509340286255,0.7801482081413269,0.7762419581413269
1278353736984416058,1175459,904.7839965820312,0.8566706776618958,0.79296875,0.7967748641967773
-4307148252531171928,2186250,980.9819946289062,0.8423477411270142,0.7744390964508057,0.7659254670143127
1054251626587044321,7817866,1878.632080078125,0.8356370329856873,0.7600160241127014,0.76171875
5574699597478490246,1174294,900.77099609375,0.8606770634651184,0.7924679517745972,0.7843549847602844
-8540033731876779352,2623114,1153.60693359375,0.864182710647583,0.7914663553237915,0.7874599099159241
-9163909410225317149,6070410,1416.617919921875,0.3079927861690521,0.3029847741127014,0.31260016560554504
9012256981737820968,3059978,1706.72607421875,0.9796674847602844,0.8299278616905212,0.8274238705635071
-1999733348759718289,2623114,1536.0159912109375,0.9673477411270142,0.8307291865348816,0.8306289911270142
-6418726127933796099,883227,724.4810180664062,0.7619190812110901,0.7177484035491943,0.7219551205635071
2480954468558651767,883227,757.3499755859375,0.7723357081413269,0.7312700152397156,0.7277644276618958
2351547466187389110,1172618,869.5170288085938,0.8754006624221802,0.8023838400840759,0.7978765964508057
-8675982555323206929,6944138,1757.43701171875,0.7399839758872986,0.6912059187889099,0.6881009340286255
6774592505403833572,1171328,885.4520263671875,0.8981370329856873,0.8091946840286255,0.8086938858032227
903144160751112234,2623114,1153.68505859375,0.8946313858032227,0.8005809187889099,0.7960737347602844
8101257676253352178,1749386,878.9039916992188,0.47265625,0.46514421701431274,0.4600360691547394
1461083964602662529,774986,668.3289794921875,0.8610777258872986,0.7952724099159241,0.7927684187889099
8874896817084096226,1174294,881.2789916992188,0.8860176205635071,0.8025841116905212,0.8032852411270142
7720804976459528164,8691594,2093.301025390625,0.9877804517745972,0.8385416865348816,0.8358373641967773
7067079457301707452,2186250,1022.14404296875,0.7108373641967773,0.6782852411270142,0.6751803159713745
-6162563669747822197,1749386,841.8980102539062,0.7737379670143127,0.7282652258872986,0.7246594429016113
-36299461149903085,2623114,1118.9169921875,0.9307892918586731,0.8206129670143127,0.8161057829856873
3606296548377519423,1464723,1055.738037109375,0.901442289352417,0.8108974099159241,0.8065905570983887
-6023312830079646745,2623114,1122.41796875,0.8784054517745972,0.7948718070983887,0.7895632982254028
315283013951942915,2049312,1681.361083984375,0.97265625,0.8326321840286255,0.8314303159713745
-291383609125781958,3059978,1715.68408203125,0.9791666865348816,0.8348357081413269,0.8286257982254028
3445981959760284088,884517,764.7459716796875,0.6697716116905212,0.6462339758872986,0.6402243375778198
-82773038069740990,556554,545.842041015625,0.7814503312110901,0.7473958134651184,0.7440905570983887
-9167300846655915091,1171328,896.219970703125,0.878004789352417,0.7995793223381042,0.7991786599159241
-497604926835367058,7817866,1933.923095703125,0.7238581776618958,0.671875,0.6704727411270142
-8922217620605866379,1464204,1052.56591796875,0.9294871687889099,0.8166065812110901,0.8157051205635071
-8980986477501101666,1749386,879.4299926757812,0.5219351053237915,0.5150240659713745,0.5096153616905212
-217068965059740376,3059978,1289.51904296875,0.9377003312110901,0.828125,0.8228164911270142
3444015402834113259,3059978,1719.212890625,0.9652444124221802,0.8231169581413269,0.8257211446762085
-3807541890235085675,882708,743.39697265625,0.7910656929016113,0.7501001358032227,0.745192289352417
6643589573918929254,1172618,895.1910400390625,0.8771033883094788,0.7981770634651184,0.8012820482254028
3569091532298844865,2186250,994.4609985351562,0.8262219429016113,0.7645232081413269,0.7603164911270142
-2075936331072860875,1749386,878.572998046875,0.33062902092933655,0.32562097907066345,0.3298277258872986
-6374810016590944478,6944138,1726.634033203125,0.3889222741127014,0.37510016560554504,0.37229567766189575
-5767731247783646073,7817866,1877.029052734375,0.8169070482254028,0.746995210647583,0.7419871687889099
-1706094098313690305,7817866,1976.35302734375,0.6236979365348816,0.6000601053237915,0.5932492017745972
-3882914361963591429,7817866,1966.112060546875,0.6549479365348816,0.6310096383094788,0.6245993375778198
6119066517477828871,2186250,1021.27294921875,0.8346354365348816,0.7674278616905212,0.7606169581413269
7113966276172954959,3059978,1296.02001953125,0.9512219429016113,0.8244190812110901,0.8235176205635071
6106404487963187105,2186250,1018.6910400390625,0.8219150900840759,0.7616186141967773,0.7582131624221802
184665852100329017,3059978,1724.60498046875,0.9700520634651184,0.8302283883094788,0.8303285241127014
3366046190404915597,1174294,906.9010009765625,0.8982371687889099,0.8106971383094788,0.8050881624221802
-3167892426658989698,1171328,893.4200439453125,0.8772035241127014,0.7996794581413269,0.7974759340286255
839466912648028902,2623114,1161.7979736328125,0.8775039911270142,0.7948718070983887,0.7955729365348816
53453496410316441,2623114,1153.4429931640625,0.9465144276618958,0.8184094429016113,0.8202123641967773
-2554663159473988219,1174813,907.135009765625,0.8553686141967773,0.7823517918586731,0.7825520634651184
8643130055325983659,2623114,1141.6739501953125,0.9206730723381042,0.8101963400840759,0.8150039911270142
8123359814818532599,1461238,1044.56396484375,0.8827123641967773,0.8020833134651184,0.7973757982254028
-514236068988036217,6944138,1755.7850341796875,0.8156049847602844,0.7372796535491943,0.7408854365348816
1718752162127721182,3059978,1710.8590087890625,0.9845753312110901,0.8335336446762085,0.8315304517745972
877481052088086757,1752824,1199.7030029296875,0.9549278616905212,0.8265224099159241,0.8232171535491943
-363286172392590762,1749386,881.7459716796875,0.4049479067325592,0.3941306173801422,0.3958333432674408
-8023825605950914373,6944138,1710.06005859375,0.375,0.36748796701431274,0.3699919879436493
-3601017400400677695,556554,548.5670166015625,0.8056890964508057,0.7633213400840759,0.7561097741127014
952083089124521465,1175584,896.8619995117188,0.8663862347602844,0.7969751358032227,0.7969751358032227
-3463382127003566780,6944138,1761.778076171875,0.4971955120563507,0.4921875,0.48858171701431274
8193149197877078620,1172618,889.9169921875,0.8824118375778198,0.7961738705635071,0.8009815812110901
6708653850113821040,1749386,878.4720458984375,0.4300881326198578,0.42738381028175354,0.42177483439445496
-1560013073954554958,7817866,1951.458984375,0.7957732081413269,0.7306690812110901,0.73046875
6627240365538652487,2186250,973.218017578125,0.8885216116905212,0.8035857081413269,0.7992788553237915
-6515288845357066049,2046865,1652.419921875,0.977463960647583,0.8356370329856873,0.8326321840286255
6361097661449786999,2186250,1003.7330322265625,0.8586738705635071,0.7882612347602844,0.7834535241127014
8984082059570398226,884517,757.5350341796875,0.47776442766189575,0.46734777092933655,0.4722556173801422
-2893304632082519828,3059978,1303.541015625,0.9300881624221802,0.8196113705635071,0.8117988705635071
-4425572640867712917,1464204,1048.31494140625,0.9211738705635071,0.8126001358032227,0.8142027258872986
7840888768153215303,993418,785.280029296875,0.9219751358032227,0.8148036599159241,0.8181089758872986
1311720320190576753,1749386,863.1900024414062,0.8372395634651184,0.7681289911270142,0.7654246687889099
-5383571344069812320,1749386,871.1800537109375,0.8001803159713745,0.7498998641967773,0.7468950152397156
8996113293580504594,1749386,849.0870361328125,0.7733373641967773,0.7223557829856873,0.7218549847602844
-2272051812502980111,1174294,873.6490478515625,0.8627804517745972,0.7934695482254028,0.7919671535491943
8608394438109777025,3059978,1723.1929931640625,0.9866786599159241,0.835036039352417,0.8351362347602844
8752232910064227971,2623114,1168.590087890625,0.9112580418586731,0.8088942170143127,0.8083934187889099
