hash,trainable_parameters,training_time,train_accuracy,validation_accuracy,test_accuracy
785891512880013296,6944138,1709.760009765625,0.9725561141967773,0.82421875,0.8249198794364929
-2996858738800353930,2623114,1145.1800537109375,0.8718950152397156,0.7981770634651184,0.7932692170143127
529901968436743120,1176103,904.29296875,0.8544671535491943,0.7839543223381042,0.7829527258872986
-7399681503233510166,2186250,988.426025390625,0.8482571840286255,0.7825520634651184,0.7809495329856873
-8923893820427222915,6070410,1466.041015625,0.6928085088729858,0.6599559187889099,0.6567507982254028
-1491869517949839921,2186250,1009.6190185546875,0.840745210647583,0.7690304517745972,0.7668269276618958
2750830665755832054,2186250,1029.91796875,0.8951321840286255,0.7969751358032227,0.7970753312110901
1172657926388056152,1174294,890.5239868164062,0.8973357081413269,0.8053886294364929,0.8059895634651184
-4676662524780741083,1752824,1199.7030029296875,0.9549278616905212,0.8265224099159241,0.8232171535491943
8338084915908832455,993418,781.0799560546875,0.9182692170143127,0.8125,0.8151041865348816
5721177721289703878,3059978,1711.9859619140625,0.9854767918586731,0.8334335088729858,0.8384414911270142
-3755876035865442450,7817866,1931.819091796875,0.6889022588729858,0.6629607081413269,0.6602563858032227
-4918819119622142876,1174294,914.4620361328125,0.8979367017745972,0.8049879670143127,0.8073918223381042
1630890625601897157,1465369,1043.780029296875,0.8861178159713745,0.8040865659713745,0.8028846383094788
-228472796619238301,6944138,1723.291015625,0.739182710647583,0.6970152258872986,0.6918069124221802
-4593832444925255501,8691594,2093.19189453125,0.9932892918586731,0.8386418223381042,0.8373397588729858
3009744475503694633,3059978,1291.700927734375,0.9184695482254028,0.8167067170143127,0.8081930875778198
2143010603066167300,8691594,2124.15380859375,0.5853365659713745,0.5713140964508057,0.5709134340286255
-2526314366532866109,2623114,1475.18798828125,0.9528245329856873,0.811598539352417,0.8150039911270142
4556482549075812312,3059978,1288.3709716796875,0.9520232081413269,0.8256210088729858,0.8184094429016113
-2671991002577650794,2186250,1015.1700439453125,0.8450520634651184,0.7807492017745972,0.7752403616905212
-7776209676251801893,2186250,986.0250244140625,0.7039262652397156,0.6788862347602844,0.6689703464508057
4094825379871843104,2049312,1675.5439453125,0.9803686141967773,0.8367387652397156,0.8343349099159241
5385529377250667121,3059978,1288.9639892578125,0.9267828464508057,0.8161057829856873,0.8117988705635071
-210294779707652621,2623114,1167.9420166015625,0.8890224099159241,0.8025841116905212,0.7922676205635071
-6434946114449259566,2623114,1532.291015625,0.9832732081413269,0.8338341116905212,0.8333333134651184
2264237328295179225,1464204,1026.721923828125,0.9265825152397156,0.8171073794364929,0.8093950152397156
534242690573240399,2623114,1148.862060546875,0.9228765964508057,0.8100961446762085,0.8096955418586731
-5566200855996169168,2186250,985.2659912109375,0.901442289352417,0.8028846383094788,0.8020833134651184
3360160832720954588,3496842,1883.7880859375,0.98828125,0.8391426205635071,0.8410456776618958
-2326335596807210556,6944138,1708.2459716796875,0.6913061141967773,0.659254789352417,0.6596554517745972
